code,amount 
OP16-022,1
OP16-045,4
OP16-034,4
OP16-055,4
OP16-054,4
OP16-027,1
OP16-038,3
OP16-042,1
OP02-068,1
OP05-057,4
ST06-015,1
EB01-028,1
OP13-004,2
OP13-093,2
OP12-093,8
OP13-017,13
OP13-005,8
ST35-003,8
ST35-001,8
OP14-074,1
OP16-091,1
EB03-041,1
EB03-010,1
OP12-098,8
EB01-042,1
EB-03-008,1
OP05-007,1
OP12-090,8
OP05-051,1
EB03-058,1
OP14-074,1
OP13-113,1
OP07-016,1
OP07-015,1
EB03-017,1
OP11-008,1
EB03-037,1
OP13-012,1
P-069,1
OP08-046,1
OP05-057,4
EB01-028,1
OP12-086,1
OP07-017,1
EB03-034,2
EB02-017,1
OP16-085,1
OP16-096,1
OP16-086,2
OP16-099,1
OP10-062,1
OP05-042,1
OP13-051,1
EB03-52,1
OP05-069,1
OP03-110,1
EB01-022,1
OP07-054,1
OP08-043,1
OP05-034,1
OP13-008,8
P-105,8
OP13-081,8
OP13-019,11
EB03-013,1
OP12-062,1
OP12-097,1
ST35-004,4
ST35-002,4
ST35-005,4
